,feature_name,kl_divergence
0,EZH2,16.572341441517835
1,RS1,16.3939067100894
2,STX11,16.268993175015208
3,STIL,15.646141039724682
4,GPM6A,15.468276952761618
5,SRPK1,15.37633437251564
6,SFTPC,15.178413695823142
7,PAICS,15.05477834532816
8,GALNT7,14.419272807169975
9,AGER,14.340967580632597
10,CHAF1B,14.276376299730419
11,CLDN18,14.218904075989968
12,CLIC5,14.14710424186608
13,SLC35F2,14.05313859419616
14,CLEC3B,14.008857106738672
15,TNNC1,13.908422914853936
16,CAV1,13.798326708803595
17,LGI3,13.69390275990175
18,CA4,13.36816696109507
19,UBFD1,13.028809222506597
20,PEBP4,12.988872981650468
21,FANCA,12.95250079906416
22,SIX4,12.933764460608774
23,RXFP1,12.9133202137261
24,SFXN1,12.898172489792582
25,SERTM1,12.814107574118058
26,ARHGEF26,12.792933876700262
27,SPOCK2,12.792401971558464
28,CAVIN2,12.784961824542751
29,FAM107A,12.753223265295027
30,OVCH1,12.70597931666816
31,SGCG,12.691429389070018
32,ADRB2,12.645411265835481
33,KNOP1,12.601335541211007
34,MARCO,12.530838802684688
35,ITLN2,12.524529969045783
36,CHRNA2,12.5161515126018
37,CD5L,12.493364584740675
38,AQP4,12.466665663688204
39,XYLB,12.445495249231778
40,LAMP3,12.38046756215714
41,ANGPT4,12.237260622690739
42,RTKN2,12.236553449644392
43,SH3GL3,12.21534325071958
44,GYPE,12.186745330799313
45,MCEMP1,12.087735683486205
46,ACADL,12.053715289548174
47,NLN,12.019602220902536
48,DONSON,12.006259527979841
49,CNOT11,11.992026144014396
50,ALDH18A1,11.981305698170482
51,MYZAP,11.793674503941492
52,PECAM1,11.724079761833236
53,CD101,11.605899094592113
54,FAM189A2,11.534026322486463
55,CD36,11.449387279619398
56,GPC5,11.438482694896537
57,WNT3A,11.418898363084077
58,ADRA1A,11.346056106030153
59,EDNRB,11.319454029388645
60,MME,11.308127193509144
61,SCUBE1,11.184003144476291
62,GPD1,11.158585568248874
63,WNT7A,11.140023422208108
64,ANGPTL7,11.13738610335073
65,PGM2L1,11.100179870134681
66,FHL1,11.07502386947899
67,PRKG2,11.069995151720345
68,MYO7A,11.067610521811957
69,ACVRL1,11.048420526264428
70,ADAMTS8,11.047911900867563
71,FAM136A,11.046596021180047
72,HSPA12B,10.967245811495523
73,WWC2,10.933575478312036
74,S1PR1,10.932974080514233
75,ABCA8,10.87417667688212
76,FREM3,10.84016222265882
77,CTXND1,10.827653888946552
78,EPAS1,10.81592224246148
79,BCL9,10.805262349735678
80,CNTN6,10.796094540618403
81,COASY,10.795512960953062
82,FPR2,10.786228000435099
83,GPX3,10.77948448640214
84,SLC6A4,10.755440515867999
85,C1orf131,10.750012955405971
86,ETV6,10.749937282439872
87,RGCC,10.693650040584535
88,SLC25A13,10.658210656533539
89,CD300LG,10.65532764113033
90,C20orf202,10.577989170163727
91,FCN3,10.554622414877661
92,BTNL9,10.471727516682808
93,CCBE1,10.446169487477784
94,FXYD1,10.429915002996866
95,FMO2,10.401678465957646
96,E2F3,10.380894657403816
97,SFXN4,10.349434741450592
98,PFDN6,10.341147961257585
99,SLC19A3,10.3085051340723
100,PMM2,10.297107384401963
101,RAMP2,10.28915288836142
102,TEK,10.287700132233926
103,ECSCR,10.28186438760136
104,KL,10.277440264566316
105,TMEM177,10.270052921224549
106,TMEM139,10.266145839188448
107,BCL2L12,10.24514457531714
108,DCAF13,10.22052757676494
109,PHKA1,10.19339711571802
110,HBM,10.186447204805573
111,SLC39A8,10.178688727908995
112,HIGD1B,10.178132714722796
113,NCKAP5,10.175905302951849
114,LDB2,10.16201459454125
115,PHACTR1,10.154782365287689
116,KCNA4,10.134645696962382
117,CCDC85A,10.071474655963922
118,COX4I2,10.055833116184473
119,PLEKHA8,10.019701574771954
120,SEMA3G,10.002455876500441
121,RFWD3,9.992544301977928
122,TINCR,9.970438475079648
123,CACNA1S,9.929554780068452
124,EMP2,9.907169408487974
125,SPAAR,9.907098573770527
126,AGBL1,9.884881904960226
127,CPB2,9.864599176954234
128,GPIHBP1,9.864021514682186
129,AVL9,9.859363673877391
130,FABP4,9.815690805653308
131,SFTPA2,9.812821585361684
132,SYNJ2,9.77906460591307
133,SMYD5,9.766540877562239
134,MYO19,9.762721414071052
135,UBE2O,9.752262648694533
136,C10orf67,9.729231640193943
137,GIMAP8,9.72417079021785
138,VEPH1,9.697549231885287
139,NECAB1,9.66040205808529
140,TCEAL2,9.646750466521459
141,DLC1,9.632812689923348
142,CALCRL,9.612655680310944
143,TMEM182,9.603362970278477
144,VSIG4,9.595600257686552
145,NKRF,9.550893875233287
146,NPR1,9.536972880349504
147,HHIP,9.501413525758675
148,CGNL1,9.468011627689055
149,ROBO4,9.461605077534342
150,PRX,9.385034849587619
151,LIMS2,9.368456036825124
152,AL096711.2,9.358635454157955
153,CHRM1,9.32844104153395
154,RBP2,9.298757704025785
155,CLEC1A,9.293947581171595
156,SIRPB1,9.23150209370328
157,TIMM8A,9.22819484132953
158,ASPA,9.210311394669564
159,CHID1,9.20966521865647
160,GCOM1,9.203448497794293
161,ST8SIA6,9.197187532757845
162,VIPR1,9.19533165763933
163,CCNF,9.118017759894009
164,FANCF,9.107157758195783
165,ADCY8,9.097896381984778
166,EMCN,9.095539044121953
167,C8orf76,9.087140590232574
168,ACKR4,9.084492227953074
169,PTPRQ,9.030746951596088
170,FHL5,9.026751879298624
171,SH2D4B,9.00803206950391
172,TMEM100,8.99997108748851
173,KCNT2,8.89791689117102
174,BANP,8.88043704216001
175,UPK3B,8.877682862268049
176,P3H2,8.872168784797648
177,IQSEC3,8.87197221812974
178,DNASE2B,8.868719335981998
179,PTPN5,8.867999287840906
180,PTPRB,8.84399533370519
181,LYVE1,8.811843981427959
182,CDH5,8.810416721388977
183,CPSF6,8.79796286998738
184,AIFM1,8.781165817143329
185,DROSHA,8.777047152362696
186,JPH4,8.774028471738083
187,RHBDD3,8.764816661741275
188,KIAA0408,8.758064639265672
189,NUP85,8.757218602669035
190,ZDHHC13,8.74469889896062
191,STXBP6,8.744655856722451
192,OVCH2,8.732496789972787
193,MS4A15,8.726346990479264
194,SF3B4,8.719686453647467
195,KANK3,8.704695497721941
196,MRTO4,8.692358522235205
197,ADH1B,8.684240665710579
198,IGSF10,8.676776902388966
199,MGAT3,8.665193180891253
200,CAT,8.639932921943394
201,C8B,8.636529619366964
202,FLVCR1,8.633521270079951
203,PPP1R37,8.63342620632049
204,OTUD1,8.631558217065832
205,HBA2,8.619163573646643
206,INMT,8.578604138992162
207,GLDN,8.575028864890026
208,RADIL,8.571395359309921
209,POLR2G,8.531717195453824
210,PAK1,8.525726461406432
211,ANXA8L1,8.515094173281287
212,KHDC4,8.475297793911858
213,RNF34,8.46196822489083
214,SNRNP25,8.457572277442925
215,TMEM69,8.445244876971001
216,DUOX1,8.434529496365753
217,F11,8.42837746837482
218,LCTL,8.427429005504163
219,FO681492.1,8.41628220052572
220,PUS7,8.41349307647143
221,ZFP69,8.393333020436055
