,GYPE,SSTR4,NECAB1,C10orf67,SGCG,E2F3,JPH4,HBM,CCDC54,ADCY8,OTC,FXYD1,SYN2,CTXND1,GPM6A,RSPO1,RXFP1,LRRC36,RS1,LIN7A,KL,NCKAP5,VEGFD,ASPA,CLEC3B,RTKN2,ACTN2,ST8SIA6,LOXHD1,CACNA1S,SLC27A6,SLC6A13,STX11,GRIA1,OR10A3,CLIC5,SLC39A8,ITLN2,PTPRQ,ADRB1,CORO2B,TNNC1,FGF10,OVCH1,MGAT3,ACKR4,RAMP2,FHL1,CNTN6,RGS9,KANK3,ARHGAP6,TEK,BTNL9,CA4,ACVRL1,LGI3,CHRM2,FAM107A,AGBL1,EFCC1,BEND2,LCN6,AQP4,GDF10,NMUR1,TRAPPC3L,NRG3,NKAPL,SCUBE1,NPR1,SERTM1,PCDH15,ADRA1A,AC008763.3,MYZAP,GPM6B,C20orf202,LRRN3,ANGPT4,LRRC2,IGSF10,RXRG,TCF21,KRT27,FRMD3,GRIK4,GYPB,OVCH2,FO681492.1,COLEC10,ECSCR,SPAAR,AL645922.1,TUBB1,OR6K3,CD5L,KCNT2,SELP,GHR,EDNRB,ADRB2,CCDC85A,RSPO2,SEMA3G,CD300LG,PRX,ADGRE3,CHRM1,CHRNA2,COX4I2,PLCL1,BMX,HBA1,FAM110D,HSPB2-C11orf52,STXBP6,CDO1,SRPK1,RGCC,CMTM5,PPHLN1,SULT1C4,KCNA4,DUOXA1,PCDH9,CAVIN2,SLC14A1,BLOC1S5-TXNDC5,NOVA2,PTPRB,RNF182,TENT5B,WNT3A,SH3GL3,PCSK9,LIMS2,C14orf132,GPD1,FCN3,EDN3,SSMEM1,SYT15,ARHGEF15,ADGRA1,GSTM5,HSPA12B,CCM2L,SPOCK2,RASIP1,ADGRE1,RAMP3,LIPN,LMO2,ADH1B,KHDRBS2,ARMH2,PTPN5,ODAM,DUOX1,CPB2,RAPGEF4,S1PR1,TAL1,CCDC141,AL096711.2,ELAPOR2,EXD1,CAMP,WWC2,ST6GALNAC3,CPA1,EPPIN-WFDC6,DKK2,GDF2,LAMP3,HHIP,LRRC18,HEMGN,PCARE,CAV3,ADAMTSL3,ACADL,EMP2,USHBP1,MAPK4,CMTM2,AJAP1,PADI4,SLC4A1,NLRC4,PECAM1,TAMALIN,SIRPD,label
TCGA-44-7667-01A-31R-2066-07,1,0,506,1,2,4877,12,0,103,0,2,15,4,1,11,1,12,7,22,120,358,3539,7,17,528,2379,46,0,13,7,5,2,139,7,0,31,3172,2,23,0,39,479,5,0,110,10,925,190,2,7,246,88,312,16,3,1442,0,0,168,0,74,0,1,27,1385,37,18,0,1,96,298,0,36,0,0,38,338,19,4,7,3,138,19,20,1,1660,5,0,0,9,20,139,45,0,3,0,1,331,120,36,91,17,5,1,617,4,192,22,1,1,92,77,85,0,106,0,3023,7,8154,1042,4,3799,21,0,52,3054,528,11,39,220,657,271,75,14,1,53,449,503,23,139,0,1,21,454,0,61,385,133,653,8242,30,558,0,333,7,8,1,1,0,142,31,109,1767,47,7,46,1353,1,3,175,312,5,0,154,0,917,9,5,0,1,0,46,37,6284,93,2,4,7,11,1,153,7570,366,2,1
TCGA-97-7941-01A-11R-2187-07,62,0,615,78,66,1139,121,0,2,4,45,94,22,5976,317,75,109,441,11,183,187,402,890,165,1307,2425,77,116,56,17,24,33,355,382,1,5860,15520,335,135,308,522,1256,17,3,7073,144,1723,4200,186,102,864,1449,1062,888,752,3106,433,1,1304,14,545,0,6,9408,718,228,4,182,44,485,2150,72,86,40,0,282,671,34,217,8,83,1167,288,1287,46,269,86,0,55,138,18,304,124,0,35,0,13,167,836,191,1501,643,80,198,620,59,1736,42,569,3,655,261,360,0,258,0,758,193,4003,3716,9,2775,225,29,3043,261,2422,114,26,623,3614,100,536,85,63,707,2048,1624,77,1355,254,2,58,1684,86,432,747,424,8421,1219,37,1405,2,905,7759,45,22,18,115,6851,430,452,2014,313,171,22,944,5,1,3100,295,5,7,296,0,10712,1404,157,9,2,40,670,520,27759,360,463,28,87,6,6,251,16640,740,3,1
TCGA-86-8074-01A-11R-2241-07,9,2,61,34,26,4557,72,1,5,1,1,29,19,9,18,9,51,58,9,155,138,74,44,27,134,282,12,8,22,0,1,8,354,9,0,1509,4529,3,3,28,128,72,55,6,149,109,535,1222,32,97,143,335,638,75,13,1927,6,0,163,0,164,1,1,920,43,11,7,16,10,110,1466,4,3,2,0,43,225,10,76,18,41,176,300,214,2,171,22,0,0,15,11,113,46,1,23,0,28,82,243,147,283,353,33,18,424,3,538,32,2,1,74,233,38,2,76,0,77,104,12839,1964,1,8457,68,4,673,109,618,76,12,188,2819,26,238,36,2,1914,1190,769,82,128,0,0,13,573,47,182,542,128,2503,439,96,486,0,910,221,21,0,4,8,511,10,457,927,82,27,29,365,3,62,4245,87,0,0,238,0,3349,148,2,2,4,2,363,17,12334,119,6,17,28,10,2,322,11209,643,5,1
TCGA-55-7576-01A-11R-2066-07,14,0,104,6,21,2996,87,1,1,7,6,19,23,43,142,46,54,99,20,199,171,369,199,48,462,1348,20,38,47,7,6,3,403,34,0,8467,6379,33,10,127,140,1018,31,53,310,27,752,1873,175,82,458,262,904,232,96,2197,242,1,570,4,232,1,4,12370,51,28,1,10,17,103,735,23,19,11,1,146,300,23,121,41,68,451,30,286,4,258,24,0,11,43,9,208,39,3,22,1,12,90,629,204,763,251,284,76,553,7,757,188,16,3,242,312,48,2,111,0,727,56,8007,2054,1,4255,121,11,560,178,5294,36,7,308,2072,44,211,19,2,199,908,1739,752,298,4,2,40,823,0,118,493,210,4044,488,100,822,9,878,1648,603,0,13,7,1420,126,306,1614,170,51,34,1919,8,8,1827,300,1,0,245,0,6665,2354,2,2,28,1,351,132,21953,134,30,23,73,5,3,510,14805,361,13,1
TCGA-86-8674-01A-21R-2403-07,4,0,13,0,0,1472,14,0,0,1,0,1,2,18,5,5,9,18,1,26,15,10,52,8,95,244,1,1,8,0,0,3,42,23,0,136,928,1,0,8,27,41,5,3,58,10,438,144,3,34,104,47,139,74,15,525,3,0,57,0,141,0,8,365,19,7,3,2,3,36,145,1,0,1,0,31,422,1,14,3,13,13,4,25,0,15,3,0,0,2,1,46,13,1,3,0,0,4,53,19,234,14,3,0,456,0,364,7,1,0,149,69,15,0,36,0,9,17,4648,409,0,1497,7,2,839,38,421,15,86,128,571,10,271,0,2,555,458,95,31,40,1,0,0,332,0,37,180,64,499,536,6,313,0,203,11,8,0,2,2,1117,33,103,384,48,4,3,81,6,29,576,26,0,0,99,0,773,15,1,0,9,0,344,19,6982,96,95,2,5,0,0,35,4805,221,0,1
TCGA-49-AARO-01A-12R-A41B-07,11,0,45,66,12,993,83,0,1,2,2,43,111,19,21,16,30,268,7,67,56,34,20,26,257,292,60,27,20,0,5,9,243,4,0,305,2348,7,4,76,145,75,12,10,166,21,698,1305,8,98,197,191,290,296,126,2371,13,0,154,1,166,1,6,207,117,33,4,41,20,259,355,1,2,0,8,151,198,13,70,21,22,262,8,196,1,71,44,0,18,9,16,123,33,0,41,0,17,70,384,63,532,196,17,4,480,4,468,20,7,1,319,173,50,3,53,0,179,103,2244,2304,2,1521,93,5,295,27,870,69,7,271,1172,12,118,89,11,40,938,541,250,257,1,1,14,593,40,165,286,123,2598,590,67,659,2,861,997,11,3,4,0,1336,3,248,766,163,22,7,894,2,12,765,58,12,10,166,0,1935,92,100,5,13,1,202,31,12972,192,19,41,18,6,1,230,8073,619,5,1
TCGA-75-6205-01A-11R-1755-07,4,0,9,0,11,697,42,0,2,1,6,10,1,1,68,12,69,10,1,58,35,66,47,18,92,156,6,15,12,0,0,5,360,21,0,191,1693,0,2,19,55,11,3,3,99,9,389,773,0,45,144,151,372,39,2,886,2,1,303,0,52,0,15,97,17,19,6,0,6,43,214,0,5,2,0,60,131,5,27,9,18,179,1,130,1,113,13,0,1,15,1,90,17,0,2,0,0,20,403,43,310,252,4,11,163,8,207,29,0,1,51,170,37,5,36,0,25,36,1975,657,2,1137,51,1,12,16,1192,18,3,127,875,10,393,0,2,4,256,151,14,47,1,0,26,319,1,101,219,88,2174,283,208,454,1,636,512,4,0,12,0,75,0,98,962,83,36,8,407,3,3,1005,70,1,0,91,0,1241,3,1,1,0,0,132,7,2924,71,2,1,4,11,4,188,7637,343,0,1
TCGA-91-6847-01A-11R-1949-07,2,0,59,51,5,5243,5,0,0,10,0,3,10,2,15,2,13,12,11,100,18,502,25,4,41,1399,1,231,10,0,68,0,26,6,3,119,4608,1,0,13,16,10,2,1,15,5,297,158,1,41,53,63,100,69,20,351,1,52,3931,0,21,0,1,27,1,19,0,7,8,4,138,17,3,18,0,11,1969,2,5,0,8,19,1,19,0,139,1,0,134,1,33,43,15,0,123,0,4,1,18,14,154,37,10,15,166,0,385,7,1,0,84,176,7,0,14,0,680,6,9014,654,1,3262,1090,0,3,272,131,890,15,48,317,6,643,0,1,3,213,829,38,38,0,1,0,154,3,32,72,28,486,112,2,117,0,173,81,18,0,1,430,69,2,281,206,15,9,13,39,6,22,1437,337,0,1,170,0,225,96,0,1,0,1,55,59,679,56,37,7,2,0,0,49,2854,47,1,1
TCGA-55-8620-01A-11R-2403-07,3,0,15,4,1,2224,34,2,0,1,1,5,510,12,61,4,113,44,5,358,21,235,98,10,115,529,6,55,6,4,1,18,228,9,0,391,998,31,1,213,41,60,1,9,262,21,203,389,18,115,91,49,133,93,19,564,52,5,128,2,180,0,0,508,89,31,2,3,6,196,165,48,1,1,0,25,87,10,36,3,38,85,23,66,0,440,6,0,7,9,45,33,12,0,54,0,2,18,217,150,130,45,7,5,96,3,404,6,2,1,42,95,3,14,20,0,970,11,3017,440,2,1862,17,7,60,33,239,36,9,174,488,790,446,35,4,315,400,891,127,24,2,1,12,172,2,27,154,156,1948,196,181,280,4,164,1016,22,2,81,2,334,82,1405,375,29,16,77,811,0,11,292,42,1,0,13,0,917,150,4,0,3,0,73,32,12575,50,411,16,8,3,12,82,3484,1469,3,1
TCGA-97-8179-01A-11R-2287-07,21,0,132,9,34,2806,63,1,1,7,4,56,2,41,184,31,112,200,30,280,677,291,881,126,978,1792,59,47,136,7,4,9,323,141,0,2057,6021,205,68,358,212,383,19,66,483,38,1019,2728,58,122,313,413,997,637,570,3517,221,46,1022,2,387,0,12,5481,328,61,7,16,39,290,1569,67,38,12,3,160,464,24,137,54,28,466,58,409,4,146,35,0,14,25,2,222,84,5,44,0,20,96,456,109,1709,135,153,92,361,46,1345,31,16,1,586,253,78,9,34,1,383,140,9835,4220,5,2470,201,54,769,124,2664,85,6,501,3777,149,207,59,19,235,1569,976,632,190,3,0,33,1162,2,199,591,278,4365,1035,244,734,0,566,3758,256,3,18,5,2427,115,328,1806,407,37,47,1103,6,7,1650,78,3,0,114,0,2807,893,15,0,19,20,461,161,23113,212,50,19,41,0,6,253,18747,887,4,1
