submitted_sample_id,CD5L,STX11,HBM,LOC158376,C13orf36,GYPE,C10orf67,ITLN2,ADRB2,GPM6A,NCKAP5,LRRC36,NECAB1,SH3GL3,TNNC1,CA4,CD300LG,KANK3,RTKN2,SGCG,CLIC5,WNT3A,RSPO1,AGER,PTPN21,CNTN6,ANGPT4,KCNA4,ACADL,BTNL9,HSPA12B,FAM189A2,C13orf15,SDPR,GPD1,TEK,LGI3,FMO2,RS1,RAMP3,CAV1,FAM107A,FHL1,OTC,CLDN18,JPH4,FXYD1,PALM2-AKAP2,AKAP2,GPIHBP1,CLEC3B,TAL1,RAMP2,SFTPC,EMP2,WWC2,LIMS2,EDNRB,PECAM1,SH2D4B,CHRM1,SPOCK2,AGBL1,FABP4,FHL5,ADH1B,CCDC85A,UPK3B,INMT,RXFP1,ADAMTS8,S1PR1,GCOM1,KCNT2,PTPRQ,ECSCR,SLC6A4,SGEF,MGAT3,ADH1A,ADRB1,C14orf132,DPEP2,GRIA1,FIGF,SLC39A8,ANGPTL7,KAL1,JAM2,VIPR1,C2orf71,AQP4,CCDC141,SSTR4,VEPH1,ACVRL1,PRX,CALCRL,SEMA3G,EMR3,LRRN3,ARHGAP6,FOXF1,USHBP1,LDB2,PTPRB,SH2D3C,DKK2,ST8SIA6,HIGD1B,ABCA8,PRKG2,ASPA,LAMP3,SLC19A3,GRK5,FLJ34503,FAM46B,TCF21,TMEM100,MAMDC2,CELA2B,CDO1,C7orf45,DPP6,HBEGF,ROBO4,LIPN,GIMAP8,EMCN,RGS9,CFP,OVCH1,DES,RAI2,SEMA5A,C19orf59,SOX7,PLAC9,SYT15,GRRP1,MYOC,label
TCGA-05-4244-01A-01R-1107-07,17.0,411.0,0.0,68.0,12.0,11.0,8.0,23.0,544.0,175.0,67.0,85.0,27.0,4.0,212.0,93.0,28.0,153.0,502.0,14.0,4012.0,24.0,8.0,3069.0,732.0,8.0,10.0,3.0,35.0,520.0,181.0,733.0,2082.0,1854.0,481.0,620.0,67.0,1067.0,11.0,466.0,4025.0,250.0,1126.0,1.0,1386.0,36.0,24.0,1801.0,1170.0,186.0,504.0,73.0,394.0,15303.0,11354.0,1687.0,452.0,653.0,3325.0,28.0,7.0,2441.0,3.0,328.0,94.0,1469.0,247.0,212.0,776.0,17.0,80.0,885.0,343.0,19.0,6.0,161.0,144.0,1370.0,170.0,11.0,220.0,402.0,230.0,73.0,133.0,4402.0,5.0,906.0,175.0,559.0,12.0,9664.0,20.0,1.0,386.0,18746.0,788.0,1347.0,423.0,24.0,64.0,148.0,229.0,89.0,584.0,1542.0,698.0,123.0,5.0,85.0,342.0,10.0,14.0,3305.0,97.0,484.0,6.0,143.0,268.0,1330.0,135.0,0.0,28.0,0.0,9.0,3342.0,880.0,1.0,587.0,442.0,18.0,106.0,21.0,258.0,161.0,544.0,2590.0,168.0,69.0,107.0,32.0,9.0,1
TCGA-05-4249-01A-01R-1107-07,59.0,403.0,0.0,19.0,7.0,57.0,7.0,10.0,486.0,32.0,119.0,75.0,84.0,1.0,97.0,59.0,14.0,176.0,412.0,6.0,1256.0,12.0,20.0,2789.0,850.0,11.0,2.0,2.0,20.0,109.0,251.0,1444.0,1533.0,1187.0,134.0,774.0,57.0,1569.0,8.0,770.0,2627.0,236.0,1238.0,1.0,1266.0,90.0,67.0,1729.0,1506.0,143.0,833.0,148.0,631.0,7506.0,13883.0,2112.0,756.0,500.0,2607.0,7.0,6.0,2454.0,1.0,11.0,107.0,3024.0,167.0,92.0,803.0,33.0,207.0,943.0,332.0,32.0,4.0,223.0,9.0,650.0,237.0,33.0,44.0,3617.0,162.0,29.0,219.0,3583.0,4.0,1685.0,375.0,423.0,0.0,2083.0,20.0,0.0,204.0,1637.0,785.0,2086.0,407.0,91.0,106.0,149.0,301.0,91.0,723.0,1781.0,956.0,362.0,30.0,98.0,172.0,65.0,15.0,7334.0,45.0,825.0,3.0,179.0,521.0,368.0,702.0,0.0,64.0,0.0,13.0,449.0,859.0,2.0,728.0,565.0,16.0,220.0,2.0,365.0,451.0,767.0,240.0,288.0,175.0,383.0,72.0,2.0,1
TCGA-05-4250-01A-01R-1107-07,28.0,599.0,0.0,52.0,2.0,18.0,1.0,4.0,158.0,286.0,34.0,6.0,185.0,10.0,71.0,21.0,15.0,162.0,432.0,8.0,1749.0,14.0,10.0,850.0,765.0,2.0,7.0,2.0,69.0,102.0,281.0,144.0,1668.0,1483.0,52.0,382.0,60.0,2302.0,5.0,464.0,8439.0,539.0,930.0,0.0,1039.0,34.0,33.0,3259.0,4544.0,85.0,304.0,79.0,499.0,10411.0,14100.0,2237.0,699.0,614.0,3227.0,7.0,1.0,2341.0,2.0,57.0,102.0,1284.0,258.0,75.0,609.0,8.0,42.0,1199.0,530.0,46.0,2.0,226.0,18.0,1162.0,192.0,24.0,50.0,589.0,168.0,8.0,59.0,3816.0,8.0,1334.0,131.0,512.0,1.0,1410.0,54.0,1.0,160.0,2118.0,558.0,2187.0,276.0,3.0,71.0,144.0,286.0,54.0,442.0,1167.0,686.0,292.0,15.0,70.0,110.0,24.0,10.0,2280.0,56.0,845.0,0.0,175.0,266.0,102.0,371.0,0.0,60.0,1.0,7.0,5309.0,804.0,0.0,772.0,397.0,12.0,1302.0,3.0,226.0,314.0,470.0,495.0,272.0,72.0,114.0,53.0,2.0,1
TCGA-05-4382-01A-01R-1206-07,7.0,1126.0,0.0,89.0,0.0,60.0,7.0,6.0,179.0,4.0,261.0,19.0,186.0,0.0,2181.0,3.0,3.0,445.0,722.0,61.0,905.0,17.0,48.0,559.0,2165.0,6.0,2.0,1.0,18.0,87.0,492.0,429.0,4197.0,1123.0,58.0,381.0,3.0,5045.0,11.0,511.0,5300.0,191.0,2484.0,0.0,8.0,144.0,195.0,4518.0,3745.0,145.0,184.0,125.0,589.0,25.0,44484.0,3107.0,1937.0,531.0,6431.0,22.0,0.0,21240.0,0.0,107.0,72.0,425.0,229.0,195.0,980.0,9.0,106.0,1561.0,451.0,77.0,24.0,346.0,132.0,582.0,489.0,12.0,265.0,868.0,622.0,53.0,28.0,4503.0,4.0,4117.0,524.0,274.0,0.0,6.0,57.0,0.0,1155.0,3933.0,389.0,1843.0,169.0,39.0,21.0,501.0,637.0,137.0,852.0,1080.0,1460.0,212.0,3.0,84.0,29.0,185.0,39.0,748.0,464.0,1254.0,0.0,673.0,490.0,44.0,377.0,0.0,93.0,0.0,35.0,1589.0,2031.0,6.0,1397.0,265.0,53.0,110.0,1.0,97.0,993.0,2216.0,405.0,315.0,213.0,177.0,88.0,4.0,1
TCGA-05-4384-01A-01R-1755-07,15.0,451.0,0.0,68.0,27.0,46.0,11.0,76.0,187.0,208.0,298.0,222.0,191.0,6.0,277.0,178.0,28.0,378.0,1363.0,21.0,1362.0,26.0,33.0,5009.0,1107.0,42.0,7.0,17.0,183.0,631.0,298.0,327.0,2713.0,2134.0,410.0,693.0,717.0,2011.0,20.0,642.0,10477.0,468.0,2224.0,2.0,3880.0,44.0,112.0,1333.0,1564.0,598.0,801.0,198.0,823.0,72635.0,13897.0,1355.0,776.0,1752.0,2904.0,20.0,25.0,2664.0,7.0,360.0,229.0,3276.0,450.0,427.0,2836.0,23.0,402.0,1199.0,467.0,32.0,16.0,173.0,631.0,613.0,317.0,42.0,259.0,607.0,271.0,248.0,750.0,5461.0,9.0,1228.0,341.0,949.0,16.0,4757.0,48.0,1.0,197.0,1944.0,1145.0,2556.0,451.0,10.0,115.0,220.0,486.0,161.0,789.0,2446.0,1082.0,214.0,32.0,168.0,411.0,15.0,16.0,5308.0,198.0,801.0,3.0,96.0,834.0,1063.0,648.0,0.0,102.0,1.0,9.0,668.0,1658.0,3.0,1004.0,1410.0,55.0,93.0,11.0,557.0,444.0,602.0,651.0,519.0,97.0,534.0,63.0,14.0,1
TCGA-05-4389-01A-01R-1206-07,3.0,580.0,0.0,38.0,0.0,17.0,5.0,1.0,74.0,73.0,200.0,126.0,30.0,146.0,191.0,13.0,8.0,124.0,320.0,12.0,1128.0,6.0,7.0,379.0,244.0,0.0,2.0,0.0,31.0,53.0,158.0,393.0,1059.0,1562.0,231.0,205.0,3.0,824.0,3.0,785.0,3052.0,111.0,491.0,0.0,287.0,41.0,23.0,1355.0,1113.0,17.0,474.0,70.0,484.0,1055.0,7743.0,773.0,380.0,246.0,2194.0,9.0,11.0,4352.0,0.0,46.0,45.0,459.0,97.0,84.0,253.0,15.0,41.0,778.0,104.0,38.0,26.0,155.0,5.0,1237.0,187.0,13.0,26.0,624.0,220.0,7.0,20.0,9307.0,0.0,1903.0,205.0,305.0,2.0,1007.0,7.0,0.0,466.0,1567.0,441.0,958.0,264.0,35.0,34.0,40.0,151.0,42.0,371.0,886.0,718.0,233.0,3.0,36.0,27.0,62.0,5.0,3736.0,165.0,439.0,0.0,211.0,59.0,49.0,67.0,0.0,28.0,0.0,1.0,464.0,515.0,0.0,1047.0,250.0,74.0,193.0,2.0,45.0,256.0,546.0,215.0,83.0,100.0,781.0,23.0,10.0,1
TCGA-05-4390-01A-02R-1755-07,0.0,108.0,0.0,19.0,4.0,5.0,1.0,0.0,336.0,1.0,1205.0,5.0,79.0,2.0,19.0,1.0,0.0,80.0,482.0,1.0,32.0,1.0,2.0,41.0,158.0,1.0,0.0,0.0,0.0,29.0,79.0,216.0,727.0,198.0,9.0,57.0,1.0,648.0,1.0,56.0,568.0,58.0,218.0,0.0,2.0,3.0,15.0,1070.0,1120.0,16.0,1795.0,103.0,325.0,3.0,4648.0,429.0,338.0,87.0,1052.0,2.0,0.0,648.0,0.0,11.0,32.0,25.0,25.0,1.0,206.0,4.0,7.0,418.0,32.0,15.0,0.0,62.0,0.0,439.0,196.0,0.0,21.0,339.0,65.0,20.0,2.0,3485.0,0.0,152.0,53.0,244.0,1.0,3842.0,2.0,0.0,6.0,578.0,87.0,406.0,143.0,56.0,9.0,44.0,96.0,22.0,197.0,3074.0,242.0,79.0,1.0,25.0,7.0,77.0,2.0,1487.0,318.0,552.0,0.0,95.0,70.0,186.0,35.0,0.0,9.0,0.0,2.0,566.0,276.0,5.0,124.0,67.0,7.0,27.0,0.0,563.0,114.0,151.0,315.0,142.0,36.0,44.0,11.0,1.0,1
TCGA-05-4395-01A-01R-1206-07,0.0,661.0,0.0,35.0,0.0,4.0,0.0,2.0,43.0,65.0,85.0,19.0,50.0,1.0,14.0,32.0,2.0,271.0,106.0,1.0,83.0,2.0,0.0,60.0,462.0,1.0,0.0,1.0,16.0,75.0,214.0,41.0,1371.0,2198.0,102.0,271.0,11.0,267.0,2.0,262.0,23321.0,94.0,628.0,0.0,5.0,23.0,12.0,3847.0,3542.0,51.0,215.0,99.0,418.0,4.0,9121.0,1590.0,189.0,464.0,2771.0,6.0,0.0,1343.0,1.0,229.0,47.0,84.0,45.0,61.0,125.0,3.0,37.0,1088.0,1515.0,9.0,0.0,243.0,2.0,98.0,52.0,1.0,13.0,141.0,120.0,0.0,1.0,5289.0,0.0,511.0,101.0,86.0,0.0,81.0,26.0,0.0,67.0,1059.0,312.0,1278.0,209.0,6.0,7.0,104.0,125.0,80.0,3105.0,2187.0,536.0,103.0,2.0,41.0,7.0,215.0,2.0,1371.0,41.0,423.0,0.0,112.0,71.0,63.0,36.0,0.0,11.0,0.0,25.0,2505.0,634.0,2.0,494.0,165.0,41.0,39.0,1.0,55.0,133.0,250.0,102.0,145.0,65.0,84.0,25.0,0.0,1
TCGA-05-4396-01A-21R-1858-07,1.0,96.0,0.0,14.0,0.0,1.0,1.0,2.0,22.0,17.0,260.0,12.0,21.0,4.0,11.0,62.0,0.0,63.0,122.0,1.0,380.0,1.0,0.0,63.0,402.0,1.0,0.0,1.0,44.0,124.0,121.0,332.0,1049.0,529.0,8.0,205.0,20.0,524.0,1.0,248.0,1104.0,99.0,370.0,2.0,37.0,14.0,21.0,630.0,490.0,14.0,241.0,33.0,334.0,344.0,3214.0,786.0,182.0,667.0,1251.0,2.0,4.0,1277.0,1.0,12.0,61.0,461.0,54.0,21.0,536.0,19.0,110.0,559.0,509.0,13.0,1.0,85.0,3.0,200.0,216.0,6.0,11.0,227.0,22.0,8.0,67.0,1016.0,0.0,229.0,96.0,971.0,2.0,184.0,4.0,0.0,366.0,822.0,434.0,778.0,190.0,2.0,42.0,78.0,354.0,24.0,334.0,1012.0,312.0,77.0,8.0,66.0,75.0,37.0,10.0,1099.0,129.0,302.0,1.0,20.0,132.0,138.0,109.0,0.0,9.0,0.0,3.0,113.0,678.0,0.0,330.0,589.0,11.0,29.0,3.0,54.0,216.0,361.0,7.0,56.0,25.0,68.0,12.0,1.0,1
TCGA-05-4397-01A-01R-1206-07,53.0,907.0,0.0,72.0,0.0,8.0,42.0,7.0,345.0,37.0,85.0,61.0,1944.0,0.0,41.0,37.0,8.0,275.0,855.0,0.0,1020.0,311.0,2.0,284.0,779.0,2.0,1.0,0.0,222.0,300.0,610.0,12.0,1165.0,1481.0,2404.0,221.0,87.0,974.0,1.0,968.0,1536.0,1452.0,470.0,0.0,28.0,39.0,11.0,2339.0,3075.0,73.0,496.0,41.0,2967.0,323.0,16093.0,1458.0,713.0,1273.0,2963.0,10.0,144.0,1585.0,0.0,7.0,27.0,84.0,51.0,127.0,192.0,12.0,9.0,1610.0,495.0,24.0,6.0,156.0,3.0,484.0,3450.0,2.0,5.0,1490.0,188.0,18.0,90.0,5580.0,1.0,169.0,135.0,104.0,2.0,38.0,12.0,1.0,186.0,1647.0,170.0,1016.0,251.0,1.0,14.0,68.0,163.0,96.0,436.0,1272.0,1426.0,40.0,6.0,52.0,6.0,31.0,158.0,6603.0,438.0,638.0,3.0,2150.0,28.0,534.0,1244.0,0.0,11.0,0.0,5.0,698.0,1217.0,0.0,823.0,338.0,44.0,166.0,0.0,194.0,354.0,201.0,30.0,90.0,59.0,127.0,69.0,0.0,1
